branch,feature,n_pos,n_neg,raw_r_rb,raw_p,raw_p_holm,raw_sig_holm,cov_r_partial,cov_p,cov_p_holm,cov_sig_holm,vif,dominance
A,F0_mean,796,1367,-0.15315605092029272,2.706815785087444e-09,5.413631570174888e-09,True,0.05735882351927858,0.0076375808999175005,0.0076375808999175005,True,1.106152414027005,
A,jitter_local,796,1367,-0.2257501847202361,1.819136290592989e-18,5.457408871778967e-18,True,0.11174531318636845,1.896833744534837e-07,3.793667489069674e-07,True,2.1684186768944267,
A,shimmer_local,796,1367,-0.2938375123606327,3.624001835365515e-30,1.449600734146206e-29,True,0.20463852212516903,7.148236109382336e-22,2.8592944437529345e-21,True,3.1088941963497665,
A,hnr_mean,796,1367,0.13724805446398047,9.78889175518196e-08,9.78889175518196e-08,True,-0.12759315664630597,2.62217414230708e-09,7.86652242692124e-09,True,2.690523032167329,
